	Feature	Coefficient
779	msp_0864	0.007200331135524958
1855	msp_2603	0.006560584107132059
1625	msp_2238	0.0059944584443256815
1940	msp_2859	0.0057390774356740025
1623	msp_2236	0.005593417356129235
1608	msp_2219	0.005365662815238623
1689	msp_2324	0.005190694044346907
1697	msp_2339	0.0048514571418115425
1009	msp_1144c	0.004818090189915041
1737	msp_2392	0.004816661560454654
1765	msp_2433	0.004816516605801184
1155	msp_1341	0.0047698253333654985
1875	msp_2646	0.0040857481092092295
24	msp_0025	0.003950122240917284
244	msp_0261	0.003929951591879521
1582	msp_1456c	0.003895995286240041
1624	msp_2237	0.003819546025602387
1823	msp_2545	0.003731122675396704
1742	msp_2397	0.00372398899087401
1915	msp_2802	0.003703554889433272
1695	msp_2335	0.003687156974622048
1607	msp_2218	0.0036292185081462534
471	msp_0511	0.003467059329263628
373	msp_0403	0.0034097208234136543
1963	msp_2911	0.0033067107225129935
1714	msp_2362	0.0032112704470673623
1722	msp_2372	0.0031842777130913938
1515	msp_1941	0.0031663435823611175
1629	msp_2244	0.003152726081480245
874	msp_0980	0.0031036608099691216
1885	msp_2675	0.0031036608099691216
1924	msp_2830	0.0031036608099691216
1236	msp_1454	0.0031036608099691216
1946	msp_2872	0.0031036608099691216
303	msp_0328	0.0030652044244250517
1845	msp_2587	0.0030343779939735233
1859	msp_2617	0.003017732729522504
588	msp_0643	0.0029796187269968528
1589	msp_1785	0.002973389011030803
1639	msp_2256	0.002967509373336619
1934	msp_2847	0.0028034986228036816
161	msp_0174	0.0027850870244412775
1789	msp_2482	0.002727609634756554
1604	msp_2215	0.0027163581605396197
1748	msp_2406	0.002637059605721735
1849	msp_2593	0.002619287536632271
1693	msp_2333	0.002602087704971054
1830	msp_2558	0.0025437446851843785
1609	msp_2220	0.0024927065422885985
1802	msp_2505	0.0024764811944643175
1899	msp_2716	0.0024524415885219795
1706	msp_2349	0.002438101637217937
1664	msp_2286	0.0024335166318074446
1439	msp_1782	0.0024322390561669184
1666	msp_2289	0.0024029573050247015
377	msp_0408	0.0023826836160480876
1614	msp_2226	0.002372630780675926
36	msp_0039	0.0023642351324974337
1896	msp_2699	0.002296414880174541
1929	msp_2839	0.0022774862632901427
1980	msp_2936	0.002274765571133845
240	msp_0257	0.0022492155533870148
1882	msp_2666	0.002237829994879911
1635	msp_2252	0.0022352621635952524
1862	msp_2622	0.0022314187958443372
1103	msp_1268	0.0022183290649683725
1253	msp_1474	0.0022091370454917192
1668	msp_2292	0.002162787660023274
1992	msp_2958	0.0021480910903781208
1987	msp_2945	0.002137034084814024
1751	msp_2409	0.0021344876661433237
828	msp_0925	0.0021246339734972016
1835	msp_2564	0.0021184810886758555
1572	msp_0935	0.0021153688745739496
1930	msp_2842	0.0020822009716096393
37	msp_0040	0.0020770670878160888
1646	msp_2263	0.002071807426684423
210	msp_0226	0.002061243083391614
1200	msp_1399	0.0020513195745616225
711	msp_0785	0.0020513195745616225
665	msp_0734	0.0020513195745616225
1205	msp_1405	0.002017103797481351
617	msp_0675	0.0020067294110981933
959	msp_1086	0.0019487724463702419
364	msp_0393	0.0018802832661075903
457	msp_0497	0.0018731813144209095
1744	msp_2399	0.0018701659864693483
933	msp_1053	0.0018697784388150096
781	msp_0867	0.0018534420996456486
1775	msp_2451	0.0018434627080891933
529	msp_0577	0.0018361135282455563
967	msp_1096	0.0018361135282455563
1054	msp_1202	0.0018361135282455563
521	msp_0569	0.0018361135282455563
1860	msp_2619	0.0018361135282455563
746	msp_0826	0.0018361135282455563
490	msp_0535	0.001824823641318311
278	msp_0300	0.0018164325315069318
1638	msp_2255	0.0017985765388186248
915	msp_1031	0.001781264606698917
1754	msp_2418	0.0017625889303692407
