dataset,number of clients,runtime (in s),type
brca,1,90.27493906021118,federated
brca,3,288.62696504592896,smpc
brca,3,92.7252311706543,federated
brca,5,1916.207676887512,smpc
brca,5,89.48102569580078,federated
gbsg2,1,78.18594622612,federated
gbsg2,3,503.3245282173157,smpc
gbsg2,3,78.54750895500183,federated
gbsg2,5,2650.173186779022,smpc
gbsg2,5,77.99398803710938,federated
whas500,1,72.30398797988892,federated
whas500,3,891.5900559425354,smpc
whas500,3,72.07682681083679,federated
whas500,5,3913.970277070999,smpc
whas500,5,72.0837459564209,federated
microbiome,1,141.65909504890442,federated
microbiome,3,258.6074969768524,smpc
microbiome,3,161.61709189414978,federated
microbiome,5,496.942421913147,smpc
microbiome,5,179.49443197250366,federated
