	Feature	Coefficient
1009	msp_1144c	0.008278207424440947
779	msp_0864	0.007073726606150714
1625	msp_2238	0.006362259296465758
1940	msp_2859	0.0057383664910128
1623	msp_2236	0.004831474097452871
1155	msp_1341	0.004791080728938941
1875	msp_2646	0.004330662575276379
1915	msp_2802	0.004267439173737104
24	msp_0025	0.0041360911666925345
240	msp_0257	0.00403099811359406
1855	msp_2603	0.0038115539989593207
1609	msp_2220	0.00373486767289458
373	msp_0403	0.0034014273079732097
244	msp_0261	0.0032576508271232115
1607	msp_2218	0.003223318003592082
1910	msp_2780	0.0031861695117145115
1629	msp_2244	0.0031612403234757575
1934	msp_2847	0.0030940042303862635
471	msp_0511	0.0030792249032747243
1823	msp_2545	0.0030738006177451404
1236	msp_1454	0.0030697997545010352
1885	msp_2675	0.0030697997545010352
1946	msp_2872	0.0030697997545010352
1924	msp_2830	0.0030697997545010352
874	msp_0980	0.0030697997545010352
1608	msp_2219	0.0030415416092232374
1695	msp_2335	0.003009025951217277
1589	msp_1785	0.002957417927505094
1830	msp_2558	0.0028920598899146027
1664	msp_2286	0.00287859285695658
1635	msp_2252	0.0028425236397013154
1582	msp_1456c	0.002832067109413229
1722	msp_2372	0.002823799587295368
161	msp_0174	0.0027976646254579507
1439	msp_1782	0.002794740080383933
36	msp_0039	0.002760515126787105
1697	msp_2339	0.002741628661527992
1765	msp_2433	0.0027405226505595533
1689	msp_2324	0.0027392559003277606
1737	msp_2392	0.00273456887221839
303	msp_0328	0.002697381544929202
1693	msp_2333	0.002649665341839516
1742	msp_2397	0.0026393902689373634
1624	msp_2237	0.0026243359552946643
1952	msp_2884	0.0025978504685960856
1899	msp_2716	0.002591139197356093
1639	msp_2256	0.002539939278403088
1859	msp_2617	0.002539688496534303
1963	msp_2911	0.0024751683745788374
1890	msp_2688	0.0024511188919396575
1842	msp_2581	0.0024509487778729263
1649	msp_2267	0.0024496487269063338
1770	msp_2440	0.00244949891110224
1735	msp_2390	0.0024494488825201714
1870	msp_2635	0.00244723885174513
1874	msp_2645	0.0024454988046720442
1811	msp_2520	0.0024439088628587275
588	msp_0643	0.0024348517950387324
1762	msp_2428	0.0024326689620659766
37	msp_0040	0.0023644963515712996
935	msp_1056	0.002316515581298195
1748	msp_2406	0.0022989722385551173
1768	msp_2438	0.002286895076972509
1666	msp_2289	0.002286460003274156
1714	msp_2362	0.0022738294549941537
1706	msp_2349	0.0022712078483760945
1882	msp_2666	0.002270352621656049
1682	msp_2313	0.0022506220452637553
828	msp_0925	0.0021943939345036843
1987	msp_2945	0.0021798602556842798
210	msp_0226	0.0021797579677991885
617	msp_0675	0.002153846084519994
1572	msp_0935	0.002149682394461545
1992	msp_2958	0.002149025031422654
1980	msp_2936	0.0021000356003388807
1646	msp_2263	0.002088816712651262
1205	msp_1405	0.0020871890948682844
1604	msp_2215	0.0020607423838972087
384	msp_0416	0.0020352248720273696
1789	msp_2482	0.002018237683008408
476	msp_0517	0.0020122063906827916
1732	msp_2385	0.0019859468286327125
1845	msp_2587	0.0019764876086119545
1954	msp_2886	0.001974131389292062
377	msp_0408	0.001960081495469363
886	msp_0995	0.0019529350147700123
1849	msp_2593	0.001952529408767213
457	msp_0497	0.0019363899118074524
1471	msp_1869	0.001914157663165831
1896	msp_2699	0.0019104023832110279
1914	msp_2796	0.0019073237096068982
1820	msp_2540	0.0019073237096068982
1787	msp_2480	0.0019073237096068982
1769	msp_2439	0.0019073237096068982
1868	msp_2632	0.0019073237096068982
639	msp_0701	0.0018997957192364696
1579	msp_1234	0.0018825308409616396
625	msp_0685	0.001873163877203228
